incident_id,downtime_start,downtime_end,duration_minutes,source,title,impact
9632825,2022-03-26T01:43:00Z,2022-03-26T03:35:00Z,112,updates,Incident with Codespaces,minor
9630129,2022-03-25T17:35:00Z,2022-03-28T15:02:00Z,4167,updates,Team Synchronization for GitHub is Paused,maintenance
9622130,2022-03-24T19:11:00Z,2022-03-28T15:02:00Z,5511,updates,Migrations to GitHub are Paused,maintenance
9629077,2022-03-25T15:31:00Z,2022-03-28T15:03:00Z,4292,updates,Scheduled Maintenance for GitHub Actions,maintenance
9649877,2022-03-28T16:02:00Z,2022-03-28T20:09:00Z,247,updates,Incident with GitHub Pages,minor
9656609,2022-03-29T10:26:00Z,2022-03-29T11:23:00Z,57,updates,Incident with GitHub Actions,major
9668510,2022-03-30T16:21:00Z,2022-03-30T19:20:00Z,179,updates,Incident with GitHub Actions,minor
9683123,2022-04-01T07:07:00Z,2022-04-01T12:39:00Z,332,updates,Incident with Codespaces,major
9722689,2022-04-06T15:25:00Z,2022-04-06T15:34:00Z,9,updates,Incident with GitHub Pages,minor
9723156,2022-04-06T16:37:00Z,2022-04-09T01:00:00Z,3383,updates,Scheduled Maintenance for GitHub Actions,maintenance
9769203,2022-04-12T16:33:00Z,2022-04-12T18:46:00Z,133,updates,Incident with GitHub Actions,minor
9778392,2022-04-13T20:35:00Z,2022-04-14T01:28:00Z,293,updates,Incident with GitHub Actions and Codespaces,minor
9812322,2022-04-19T14:10:00Z,2022-04-19T18:42:00Z,272,updates,Incident with Codespaces,minor
9848679,2022-04-25T08:59:00Z,2022-04-25T14:07:00Z,308,updates,Incident with GitHub Packages and GitHub Pages,none
9861926,2022-04-27T03:40:00Z,2022-04-27T04:56:00Z,76,updates,Incident with Codespaces,minor
9967638,2022-05-11T15:55:00Z,2022-05-11T17:48:00Z,113,updates,Incident with Pull Requests and Webhooks,minor
9978751,2022-05-12T21:11:00Z,2022-05-16T21:00:00Z,5749,updates,Insights charts maintenance,maintenance
10014951,2022-05-17T21:31:00Z,2022-05-17T22:15:00Z,44,updates,Incident with GitHub Actions,minor
10035829,2022-05-20T09:44:00Z,2022-05-20T10:34:00Z,50,updates,Incident with GitHub Packages and GitHub Pages,major
10066560,2022-05-24T18:59:00Z,2022-05-24T21:56:00Z,177,updates,Incident with Codespaces,minor
10070972,2022-05-25T10:13:00Z,2022-05-25T13:30:00Z,197,updates,Incident with GitHub Packages,minor
10085324,2022-05-27T04:26:00Z,2022-05-27T04:47:00Z,21,updates,Incident with API Requests,major
10086238,2022-05-27T07:36:00Z,2022-05-27T08:57:00Z,81,updates,"Incident with GitHub Actions, API Requests, Codespaces, Git Operations, Issues, GitHub Packages, GitHub Pages, Pull Requests, and Webhooks",major
10122187,2022-06-01T09:40:00Z,2022-06-01T10:28:00Z,48,updates,Incident with GitHub Actions,major
10187767,2022-06-08T18:48:00Z,2022-06-08T19:13:00Z,25,updates,Incident with Codespaces,minor
10262931,2022-06-13T11:28:00Z,2022-06-13T13:52:00Z,144,updates,Incident with GitHub Actions,minor
10266025,2022-06-13T15:13:00Z,2022-06-13T15:41:00Z,28,updates,Incident with GitHub Packages,minor
10330972,2022-06-17T03:54:00Z,2022-06-17T06:06:00Z,132,updates,Incident with GitHub Actions,minor
10356121,2022-06-20T01:45:00Z,2022-06-20T03:53:00Z,128,updates,Incident with Codespaces,minor
10362851,2022-06-20T20:45:00Z,2022-06-20T23:02:00Z,137,updates,Incident with GitHub Actions and Webhooks,minor
10367914,2022-06-21T08:55:00Z,2022-06-21T12:22:00Z,207,updates,Incident with GitHub Actions,minor
10371759,2022-06-21T17:02:00Z,2022-06-21T18:12:00Z,70,updates,Incident with Copilot,major
10378306,2022-06-22T12:12:00Z,2022-06-22T12:57:00Z,45,updates,Incident with GitHub Packages and GitHub Pages,minor
10423620,2022-06-28T17:16:00Z,2022-06-28T17:42:00Z,26,updates,Incident with Codespaces,major
